epoch:660, trainLoss:33.59648382663727, testLoss:66.02886199951172                 正解率 1:14.803, 2:15.461, 3:13.158, 4:6.743, 5:10.855 1着から5着:12.204, 12.204                 単勝:14.803, 複勝:44.408, 馬連:15.789, ワイド:16.612, 馬単:3.289, 3連複:4.605, 3連単:0.658
epoch:670, trainLoss:33.613386154174805, testLoss:66.53661346435547                 正解率 1:12.500, 2:12.664, 3:11.184, 4:6.250, 5:7.730 1着から5着:10.066, 10.066                 単勝:12.500, 複勝:41.228, 馬連:13.651, ワイド:14.583, 馬単:0.658, 3連複:4.605, 3連単:0.000
epoch:680, trainLoss:33.577696323394775, testLoss:65.50939178466797                 正解率 1:11.678, 2:13.651, 3:13.158, 4:5.757, 5:10.691 1着から5着:10.987, 10.987                 単勝:11.678, 複勝:41.338, 馬連:13.980, ワイド:13.596, 馬単:1.480, 3連複:3.454, 3連単:0.329
epoch:690, trainLoss:33.670833349227905, testLoss:65.931884765625                 正解率 1:15.296, 2:16.283, 3:11.020, 4:5.263, 5:8.553 1着から5着:11.283, 11.283                 単勝:15.296, 複勝:44.024, 馬連:16.118, ワイド:16.283, 馬単:2.138, 3連複:4.770, 3連単:0.658
epoch:700, trainLoss:33.72850924730301, testLoss:66.35318756103516                 正解率 1:12.336, 2:15.789, 3:11.349, 4:8.224, 5:9.211 1着から5着:11.382, 11.382                 単勝:12.336, 複勝:40.680, 馬連:13.816, ワイド:13.158, 馬単:1.480, 3連複:3.947, 3連単:0.329
epoch:710, trainLoss:33.70048654079437, testLoss:65.49884796142578                 正解率 1:16.612, 2:14.803, 3:13.487, 4:6.414, 5:7.895 1着から5着:11.842, 11.842                 単勝:16.612, 複勝:45.888, 馬連:14.145, ワイド:16.228, 馬単:3.618, 3連複:3.125, 3連単:0.493
epoch:720, trainLoss:33.61443442106247, testLoss:65.10302734375                 正解率 1:19.572, 2:11.842, 3:15.954, 4:5.757, 5:11.020 1着から5着:12.829, 12.829                 単勝:19.572, 複勝:45.833, 馬連:15.132, ワイド:16.283, 馬単:2.796, 3連複:3.454, 3連単:0.000
epoch:730, trainLoss:33.57075381278992, testLoss:64.46516418457031                 正解率 1:22.039, 2:13.816, 3:11.513, 4:6.414, 5:11.513 1着から5着:13.059, 13.059                 単勝:22.039, 複勝:47.643, 馬連:18.914, ワイド:18.586, 馬単:5.099, 3連複:5.099, 3連単:1.974
epoch:740, trainLoss:33.600840628147125, testLoss:65.27830505371094                 正解率 1:16.941, 2:17.434, 3:14.803, 4:7.072, 5:10.362 1着から5着:13.322, 13.322                 単勝:16.941, 複勝:44.572, 馬連:18.586, ワイド:16.776, 馬単:4.276, 3連複:5.099, 3連単:0.822
epoch:750, trainLoss:33.53401643037796, testLoss:65.49055480957031                 正解率 1:17.270, 2:12.664, 3:15.461, 4:5.921, 5:11.678 1着から5着:12.599, 12.599                 単勝:17.270, 複勝:47.259, 馬連:18.586, ワイド:19.572, 馬単:3.125, 3連複:6.579, 3連単:0.493
epoch:760, trainLoss:33.431321918964386, testLoss:64.68338012695312                 正解率 1:25.000, 2:15.625, 3:11.678, 4:7.072, 5:10.033 1着から5着:13.882, 13.882                 単勝:25.000, 複勝:46.162, 馬連:17.599, ワイド:16.667, 馬単:4.112, 3連複:4.112, 3連単:0.658
epoch:770, trainLoss:33.27642160654068, testLoss:64.57000732421875                 正解率 1:19.408, 2:12.993, 3:20.559, 4:6.414, 5:12.007 1着から5着:14.276, 14.276                 単勝:19.408, 複勝:46.436, 馬連:18.092, ワイド:18.147, 馬単:3.125, 3連複:5.921, 3連単:1.316
epoch:780, trainLoss:33.25690221786499, testLoss:64.26769256591797                 正解率 1:16.283, 2:14.638, 3:15.625, 4:7.730, 5:10.033 1着から5着:12.862, 12.862                 単勝:16.283, 複勝:44.518, 馬連:17.105, ワイド:16.612, 馬単:3.125, 3連複:5.757, 3連単:1.151
epoch:790, trainLoss:33.28537440299988, testLoss:64.20622253417969                 正解率 1:15.461, 2:14.638, 3:17.270, 4:6.908, 5:11.678 1着から5着:13.191, 13.191                 単勝:15.461, 複勝:45.504, 馬連:17.434, ワイド:17.708, 馬単:2.303, 3連複:6.579, 3連単:0.658
epoch:800, trainLoss:33.18828588724136, testLoss:64.66429901123047                 正解率 1:18.257, 2:12.336, 3:14.474, 4:8.388, 5:12.336 1着から5着:13.158, 13.158                 単勝:18.257, 複勝:44.243, 馬連:15.132, ワイド:16.173, 馬単:2.961, 3連複:5.428, 3連単:1.480
epoch:810, trainLoss:33.20276015996933, testLoss:64.29364013671875                 正解率 1:18.914, 2:11.184, 3:14.638, 4:8.388, 5:10.691 1着から5着:12.763, 12.763                 単勝:18.914, 複勝:46.546, 馬連:21.875, ワイド:19.079, 馬単:3.783, 3連複:6.908, 3連単:1.151
epoch:820, trainLoss:33.1885786652565, testLoss:65.63484191894531                 正解率 1:17.599, 2:13.487, 3:13.980, 4:9.704, 5:7.072 1着から5着:12.368, 12.368                 単勝:17.599, 複勝:42.654, 馬連:17.105, ワイド:16.283, 馬単:4.112, 3連複:7.237, 3連単:1.480
epoch:830, trainLoss:33.18915629386902, testLoss:65.0076904296875                 正解率 1:18.092, 2:12.007, 3:11.020, 4:9.539, 5:14.638 1着から5着:13.059, 13.059                 単勝:18.092, 複勝:42.489, 馬連:12.664, ワイド:12.719, 馬単:2.961, 3連複:2.303, 3連単:0.493
epoch:840, trainLoss:33.27658247947693, testLoss:64.29895782470703                 正解率 1:16.776, 2:11.349, 3:16.941, 4:7.072, 5:9.868 1着から5着:12.401, 12.401                 単勝:16.776, 複勝:47.588, 馬連:20.559, ワイド:18.805, 馬単:3.947, 3連複:5.592, 3連単:0.987
epoch:850, trainLoss:33.22336006164551, testLoss:65.2490005493164                 正解率 1:16.447, 2:9.704, 3:10.691, 4:9.868, 5:10.526 1着から5着:11.447, 11.447                 単勝:16.447, 複勝:41.283, 馬連:11.349, ワイド:12.829, 馬単:1.809, 3連複:2.303, 3連単:0.493
epoch:860, trainLoss:33.19946712255478, testLoss:63.83831787109375                 正解率 1:22.204, 2:10.197, 3:17.599, 4:8.717, 5:10.691 1着から5着:13.882, 13.882                 単勝:22.204, 複勝:46.985, 馬連:19.572, ワイド:18.257, 馬単:3.618, 3連複:5.592, 3連単:1.480
epoch:870, trainLoss:33.20167523622513, testLoss:65.06766510009766                 正解率 1:18.257, 2:11.020, 3:14.803, 4:10.362, 5:8.224 1着から5着:12.533, 12.533                 単勝:18.257, 複勝:41.776, 馬連:14.638, ワイド:13.925, 馬単:3.289, 3連複:2.632, 3連単:0.493
epoch:880, trainLoss:33.130789160728455, testLoss:64.589111328125                 正解率 1:20.888, 2:13.651, 3:12.007, 4:8.388, 5:10.033 1着から5着:12.993, 12.993                 単勝:20.888, 複勝:45.669, 馬連:19.079, ワイド:17.215, 馬単:5.592, 3連複:4.276, 3連単:1.151
epoch:890, trainLoss:33.132285594940186, testLoss:64.48860168457031                 正解率 1:17.763, 2:11.184, 3:10.526, 4:8.882, 5:12.500 1着から5着:12.171, 12.171                 単勝:17.763, 複勝:45.175, 馬連:18.257, ワイド:16.721, 馬単:4.441, 3連複:5.428, 3連単:1.480
epoch:900, trainLoss:33.07087421417236, testLoss:64.252685546875                 正解率 1:16.941, 2:14.803, 3:15.625, 4:8.224, 5:10.526 1着から5着:13.224, 13.224                 単勝:16.941, 複勝:44.079, 馬連:17.763, ワイド:16.996, 馬単:4.605, 3連複:5.592, 3連単:1.480
epoch:910, trainLoss:33.09637534618378, testLoss:64.17891693115234                 正解率 1:17.434, 2:12.993, 3:13.651, 4:8.882, 5:9.539 1着から5着:12.500, 12.500                 単勝:17.434, 複勝:46.765, 馬連:21.875, ワイド:18.860, 馬単:4.112, 3連複:6.908, 3連単:1.316
epoch:920, trainLoss:33.135553658008575, testLoss:64.0389404296875                 正解率 1:21.382, 2:11.020, 3:16.283, 4:8.553, 5:12.500 1着から5着:13.947, 13.947                 単勝:21.382, 複勝:47.478, 馬連:19.901, ワイド:19.353, 馬単:4.605, 3連複:5.757, 3連単:1.645
epoch:930, trainLoss:33.094630777835846, testLoss:64.371337890625                 正解率 1:21.382, 2:10.691, 3:17.599, 4:10.691, 5:10.197 1着から5着:14.112, 14.112                 単勝:21.382, 複勝:47.533, 馬連:23.026, ワイド:20.450, 馬単:4.605, 3連複:7.730, 3連単:1.645
